"Код 
исследования",Наименование исследования,Используемый  материал,Результат исследования,Срок* (рабочие дни) ,Возможность срочного выполнения,Цена,Описание,Подготовка,Клиническая информация,Интерпритация результатов
"68,349","Сыр Пармезан, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,723","Сыр Пармезан, IgG",кровь (сыворотка),полукол,5,,"1350,00",,,,
"68,105","Сыр с плесенью, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,720",Сыр с плесенью IgG,кровь (сыворотка),полукол,5,,"720,00",,,,
"68,433","Сыр швейцарский, IgE",кровь (сыворотка),полукол,5,,"630,00",,,,
"68,347","Сыр Эдам, IgE",кровь (сыворотка),полукол,5,,"630,00",,,,
"68,508","Яйцо куриное, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,705","Яицо куриное, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,106","Яичный белок, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,703","Яичный белок, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,107","Яичный желток, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,704","Яичный желток, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
,"Рыба, морепродукты",,,,,,,,,
"68,116","Сельдь, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,416","Гребешок, IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,731","Гребешок, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,345","Икра красная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,108","Кальмар, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,109","Камбала, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,732","Камбала, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,110",Краб IgE,кровь (сыворотка),полукол,5,,"720,00",,,,
"68,733","Краб, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,111","Креветки, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,734","Креветки, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,461","Лобстер (омар), IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,735","Лобстер (омар), IgG ",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,112","Лосось, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,736","Лосось, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,414","Мидия синяя, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,737","Мидия синяя, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,408","Морской моллюск, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,358","Морской окунь, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,359","Морской язык, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,115",Сардина  IgE,кровь (сыворотка),полукол,5,,"720,00",,,,
"68,741","Сардина, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,117","Скумбрия, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,743","Скумбрия, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,357","Судак, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,119","Треска, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,745","Треска, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,120","Тунец, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,746","Тунец, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,389","Устрицы, IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,748","Устрицы, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,121","Форель, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,747","Форель, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,122","Хек, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
,Мясо,,,,,,,,,
"68,123","Баранина, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,724",Баранина IgG,кровь (сыворотка),полукол,5,,"720,00",,,,
"68,124","Говядина, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,725","Говядина, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,125","Индейка, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,126","Кролик, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,127","Курица, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,435","Мясо гуся, IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,726","Мясо индейки, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,728","Мясо курицы, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,434","Мясо утки, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,128","Свинина, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,729","Свинина, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
,"Чай, кофе, какао",,,,,,,,,
"68,129","Какао, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,871","Какао, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,130","Кофе, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,873","Кофе, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,131","Чай черный, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,874","Чай черный, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,298","Шоколад, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,872",Шоколад IgG,кровь (сыворотка),полукол,6,,"720,00",,,,
,Пищевые злаки,,,,,,,,,
"68,354","Глиадин, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,752","Глиадин, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,132","Глютен, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,751",Глютен IgG,кровь (сыворотка),полукол,6,,"720,00",,,,
"68,133","Гречиха, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,753","Гречиха, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,412","Гречневая мука, IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,760","Гречневая мука, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,754","Кукуруза, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,134","Кукурузная мука, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,761","Кукурузная мука, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,135","Овес, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,755","Овес, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,762",Овсяная мука IgG,кровь (сыворотка),полукол,6,,"720,00",,,,
"68,442","Овсяная мука, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,136","Просо, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,137","Пшеница, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,756","Пшеница, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,409","Пшеничная мука, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,763","Пшеничная мука, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,411","Ржаная мука, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,764","Ржаная мука, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,138","Рис, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,757",Рис IgG,кровь (сыворотка),полукол,6,,"720,00",,,,
"68,139","Рожь, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,758","Рожь, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,421","Ячменная мука, IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,765","Ячменная мука, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,140","Ячмень, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,759","Ячмень, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
,Бобовые,,,,,,,,,
"68,141","Арахис, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,771","Арахис, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,142","Горох, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,772","Горох, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,773","Соевые бобы, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,143","Соя, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,144","Фасоль белая, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,145","Фасоль зеленая, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,774","Фасоль зеленостручковая, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,418","Фасоль красная, IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,775","Фасоль красная, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,146","Чечевица, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,776","Чечевица, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
,Орехи,,,,,,,,,
"68,147","Грецкий орех, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,781","Грецкий орех, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,149","Кедровый орех, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,150","Кешью, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,782","Кешью, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,151","Кокоc, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,783","Кокосовый орех, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,153","Миндаль, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,784","Миндаль, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,154","Фисташки, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,785","Фисташки, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,155","Фундук, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,786","Фундук, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
,Фрукты,,,,,,,,,
"68,156","Абрикос, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,801","Абрикос, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,157","Ананас, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,802","Ананас, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,158","Апельсин, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,803","Апельсин, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,159","Арбуз, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,160","Банан, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,805","Банан, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,161","Виноград - белый, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,806","Виноград, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,162","Вишня, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,807","Вишня, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,163","Грейпфрут, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,808","Грейпфрут, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,164","Груша, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,809","Груша, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,165","Дыня, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,810","Дыня, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,167","Киви, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,811","Киви, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,168","Клубника, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,812","Клубника, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,169","Лайм, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,170","Лимон, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,814",Лимон IgG,кровь (сыворотка),полукол,6,,"720,00",,,,
"68,171","Малина, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,172","Манго, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,816","Манго, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,173","Мандарин, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,174","Персик, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,818","Персик, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,175","Слива, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,819","Слива, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,342","Смородина черная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,177","Финик, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,821","Финики, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,178","Хурма, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,822","Хурма, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,179","Яблоко, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,823","Яблоко, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
,Овощи,,,,,,,,,
"68,180","Авокадо, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,831","Авокадо, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,181","Баклажан, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,832","Баклажан, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,182","Брокколи, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,833","Брокколи, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,436","Кабачок, IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,183","Капуста белокачанная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,834","Капуста белокачанная, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,355","Капуста цветная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,835","Капуста цветная, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,184","Картофель, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,836","Картофель, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,185","Лук, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,837","Лук, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,186","Маслины, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,187","Морковь, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,839","Морковь, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,188","Огурец, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,840","Огурец, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,356","Паприка, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,841","Перец красный (паприка), IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,191","Помидор, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,842","Помидор, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,341","Свекла, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,194","Тыква, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,844","Тыква, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,195","Чеснок, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,845","Чеснок, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,196","Шпинат, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,846","Шпинат, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
,Приправы и пряности,,,,,,,,,
"68,197","Анис, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,199","Ваниль, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,851","Ваниль, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,200","Гвоздика, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,201","Горчицa, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,852","Горчица, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,202","Имбирь, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,853","Имбирь, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,203","Карри, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,854","Карри (приправа), IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,390","Кунжут, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,855","Кунжут, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,205","Лавровый лист, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,856","Лавровый лист, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,207","Мята перечная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,857","Мята, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,208","Перец черный, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,858","Перец черный, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,209","Петрушка, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,859","Петрушка, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,210","Сельдерей, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,860","Сельдерей, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,212","Тмин, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,213","Укроп, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
,Другое,,,,,,,,,
"68,216","Грибы шампиньоны, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,217","Дрожжи пекарские, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,882","Дрожжи пекарские, IgG",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,238","Дрожжи пивные, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,883","Дрожжи пивные, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,218","Мак, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,219","Мед, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,439","Семена подсолнечника, IgE",кровь (сыворотка),полукол,4,,"801,00",,,,
"68,360","Солод, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,886","Солод, IgG",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,361","Табачный лист, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
,Животные аллергены,,,,,,,,,
"68,229","Волнистый попугайчик - оперение, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,394","Голубь - помет, IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,415","Гусь (перо), IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,227","Канарейка - перья, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,378","Коза - эпителий, IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,220","Корова - перхоть, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,221","Кошка - эпителий, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,362","Кошка-перхоть, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,419","Кролик (эпителий), IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,397","Крыса - эпителий, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,396","Крыса (моча), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,228","Курица - оперение, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,222","Лошадь -  перхоть, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,223","Морская свинка - эпителий, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,440","Овца (эпителий), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,230","Попугай - оперение, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,417","Свинья (эпителий), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,224","Собака - перхоть, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,340","Собака - шерсть, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,413","Собака эпителий, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,231","Утка - перья, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,225","Хомяк-эпителий, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,363","Шерсть овцы (обработанная), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,382","Шиншилла - эпителий, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,385","Эпителий и белки сыворотки крысы, IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,584","Эпителий и белки сыворотки мыши, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
,"Домашняя пыль, клещи домашней пыли",,,,,,,,,
"68,235","Dermatophagoides farinae, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,236","Dermatophagoides microceras, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,234","Dermatophagoides pteronyssinus, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,237","Euroglyphus maynei, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,364","Библиотечная пыль, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,232","Домашняя пыль (Greer Labs), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,465","Домашняя пыль (Hollister-Stier Labs), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
,Насекомые и яды,,,,,,,,,
"68,239","Комар, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,240","Моль, IgE",кровь (сыворотка),полукол,5,,"810,00",,,,
"68,242","Муравей Рыжий, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,243","Таракан рыжий, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,245","Оса обыкновенная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,247","Пчела домашняя, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,248","Яд осы бумажной (полиста), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,249","Шершень, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,339","Дафния (корм для аквариумных рыбок), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,405","Слепень (Tabanus spp.), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,585","Яд осы пятнистой, IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
,Пыльца трав,,,,,,,,,
"68,262","Амброзия, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,502","Бухарник шерстистый (Holcus lanatus), IgE",кровь (сыворотка),полукол,4,,"720,00",,,,
"68,250","Ежа сборная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,251","Колосок душистый, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,252",Костер безостый - Bromus inermis (g11),кровь (сыворотка),полукол,5,,"720,00",,,,
"68,264","Крапива двудомная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,265","Лебеда, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,253","Лисохвост, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,266","Марь белая, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,254","Мятлик луговой, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,504","Овес культивированный (Avena sativa), IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,255","Овсяница луговая, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,269","Одуванчик, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,270","Подорожник, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,271","Подсолнечник, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,420","Полынь горькая (Artemisia absinthium), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,267","Полынь обыкновенная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,272","Постеница лекарственная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,257","Пшеница посевная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,455","Райграс, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,259","Рожь посевная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,273","Ромашка, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,403","Рыльца кукурузные (Zea mays), IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,261","Тимофеевка, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
,Пыльца деревьев,,,,,,,,,
"68,501","Акация, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,274","Береза, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,586","Береза бородавчатая, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,399","Бук, IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,275","Вяз, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,388","Граб обыкновенный (Carpinus betulus), IgE",кровь (сыворотка),полукол,6,,"720,00",,,,
"68,276","Дуб, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,277","Ива белая, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,278","Клен ясенелистный, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,279","Лещина  обыкновенная (орешник), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,280","Липа, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,387","Можжевельник горный (Juniperus sabinoides), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,281","Ольха серая, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,505","Платан, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,282","Сосна обыкновенная, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,283","Тополь, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,284","Эвкалипт, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,507","Ясень обыкновенный (Fraxinus excelsior), IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
,Плесневые (мицелийобразующие) и дрожжеподобные грибы,,,,,,,,,
"68,286","Alternaria alternata, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,287","Aspergillus fumigatus, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
03.034,m33 Aspergillus niger,кровь (сыворотка),полукол,1,,"700,00",,,,
"68,289","Candida albicans, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
"68,290","Cladosporium herbarum, IgE",кровь (сыворотка),полукол,5,,"720,00",,,,
